"time","value"
"Thu Nov 06 2025 09:00:00 GMT+0100 (Midden-Europese standaardtijd)","15043"
"Thu Nov 06 2025 10:00:00 GMT+0100 (Midden-Europese standaardtijd)","7173"
"Thu Nov 06 2025 11:00:00 GMT+0100 (Midden-Europese standaardtijd)","48823"
"Thu Nov 06 2025 12:00:00 GMT+0100 (Midden-Europese standaardtijd)","134578"
"Thu Nov 06 2025 13:00:00 GMT+0100 (Midden-Europese standaardtijd)","81050"
"Thu Nov 06 2025 14:00:00 GMT+0100 (Midden-Europese standaardtijd)","66230"
"Thu Nov 06 2025 15:00:00 GMT+0100 (Midden-Europese standaardtijd)","101483"
"Thu Nov 06 2025 16:00:00 GMT+0100 (Midden-Europese standaardtijd)","457202"
"Thu Nov 06 2025 17:00:00 GMT+0100 (Midden-Europese standaardtijd)","75774"
"Thu Nov 06 2025 18:00:00 GMT+0100 (Midden-Europese standaardtijd)","4752"
"Thu Nov 06 2025 19:00:00 GMT+0100 (Midden-Europese standaardtijd)","642"
"Thu Nov 06 2025 20:00:00 GMT+0100 (Midden-Europese standaardtijd)","170986"
"Thu Nov 06 2025 21:00:00 GMT+0100 (Midden-Europese standaardtijd)","761937"
"Thu Nov 06 2025 22:00:00 GMT+0100 (Midden-Europese standaardtijd)","501681"
"Thu Nov 06 2025 23:00:00 GMT+0100 (Midden-Europese standaardtijd)","348891"
"Fri Nov 07 2025 00:00:00 GMT+0100 (Midden-Europese standaardtijd)","768828"
"Fri Nov 07 2025 01:00:00 GMT+0100 (Midden-Europese standaardtijd)","731544"
"Fri Nov 07 2025 02:00:00 GMT+0100 (Midden-Europese standaardtijd)","0"
"Fri Nov 07 2025 03:00:00 GMT+0100 (Midden-Europese standaardtijd)","0"
"Fri Nov 07 2025 04:00:00 GMT+0100 (Midden-Europese standaardtijd)","0"
"Fri Nov 07 2025 05:00:00 GMT+0100 (Midden-Europese standaardtijd)","0"
"Fri Nov 07 2025 06:00:00 GMT+0100 (Midden-Europese standaardtijd)","0"
"Fri Nov 07 2025 07:00:00 GMT+0100 (Midden-Europese standaardtijd)","0"
"Fri Nov 07 2025 08:00:00 GMT+0100 (Midden-Europese standaardtijd)","0"
"Fri Nov 07 2025 09:00:00 GMT+0100 (Midden-Europese standaardtijd)","0"