id,venue,product_type,url,publisher,title,publish_date,accessed_date (UTC),endpoint_type,rate_limits,auth,license/ToS notes,reliability_notes
"S1,SparkDEX,AMM V1 (UniV2-style),https://api.goldsky.com/api/public/subgraphs/ichi-org/flare-v1-sparkdex/gn,Goldsky,ICHI “flare‑v1‑sparkdex” subgraph (GraphQL),n/a,2025-10-30,subgraph,Per-plan; Goldsky hosted,API key (project),Public GraphQL; usage under Goldsky ToS,""Public, used in production; endpoint path/prefix may vary by deployment tag."" "
"S2,SparkDEX,AMM V3 (UniV3-style),https://docs.sparkdex.ai/sparkdex-defi-ecosystem/v3-dex,SparkDEX,V3 DEX — features & architecture,2024-07-15,2025-10-30,docs,n/a,n/a,Site ToS,""Confirms UniV3 CLMM model; no direct API listed."""
S3,SparkDEX,venue overview,https://flare.network/news/sparkdexs-cutting-edge-amm-perps-protocol-to-launch-on-flare,Flare,SparkDEX’s AMM & Perps to launch on Flare,2024-07-14,2025-10-30,announcement,n/a,n/a,Flare site ToS,Official ecosystem announcement referencing SparkDEX app
"S4,SparkDEX,chain index,https://flare-explorer.flare.network/api-docs,Blockscout (Flare Explorer),Flare Mainnet API docs (Swagger),n/a,2025-10-30,explorer,""~10 rps default / IP (Blockscout)"",none,Blockscout API ToS,Primary fallback for on‑chain logs & tokens"
"E1,Enosys V3,AMM V3 (UniV3-style),https://flare-explorer.flare.network/token/0xD9770b1C7A6ccd33C75b5bcB1c0078f46bE46657/instance/22616,Flare Explorer,EnosysDEX V3 Positions NFT — instance (pool link),2025-10-26,2025-10-30,explorer,""~10 rps default / IP"",none,Blockscout API ToS,""Instances expose pool addresses; can enumerate pools via REST v2"""
"E2,Enosys V3,venue page,https://v3.dex.enosys.global/,Ēnosys,Enosys DEX V3 app,n/a,2025-10-30,docs,n/a,n/a,Site ToS,Live app; network calls may reveal internal APIs (secondary)"
E3,Enosys V3,explainer,https://enosys.medium.com/%C4%93nosys-dex-v3-f4f51cdcca2b,Ēnosys (Medium),Ēnosys DEX V3 — CLMM deep dive,2024-06-10,2025-10-30,announcement,n/a,n/a,Medium ToS,Confirms UniV3 architecture
"B1,BlazeSwap,AMM V2 (UniV2-style),https://github.com/blazeswap/contracts,BlazeSwap,BlazeSwap smart contracts (GPL‑3.0 / BUSL‑1.1),2023-05-15,2025-10-30,docs,n/a,n/a,GPL‑3.0 / BUSL‑1.1,Confirms UniV2 design; artifacts & ABIs for indexing"
"B2,BlazeSwap,chain index,https://flare-explorer.flare.network/,Blockscout (Flare Explorer),Flare Mainnet explorer,n/a,2025-10-30,explorer,""~10 rps default / IP"",none,Blockscout API ToS,Use logs for PairCreated/Swap events; plus token & pool pages"
B3,BlazeSwap,factory reference,https://flarescan.com/address/0x292395792BCCf9440A8e7D4CEd495526a8C87065,Flarescan (Routescan),Blaze Swap Factory (labeled),n/a,2025-10-30,explorer,Per Routescan plan,none,Routescan ToS,Use Etherscan‑like API (getLogs) to list pairs
B4,BlazeSwap,announcement,https://flare.network/news/blazeswap,Flare,BlazeSwap delivers DeFi standard on Flare,2022-10-26 / updated 2022-11-09,2025-10-30,announcement,n/a,n/a,Flare site ToS,Official ecosystem post
"X1,Chain index,Flare logs (generic),https://docs.blockscout.com/devs/apis,Blockscout,Blockscout APIs (REST/GraphQL/RPC),2025-04-01,2025-10-30,docs,""10 rps default / IP"",none (REST),Blockscout ToS,Canonical doc for REST & limits; applies to Flare instance"
X2,Chain index,Flare logs (Routescan),https://routescan.io/documentation/api/etherscan-like/accounts,Routescan,Etherscan‑like APIs (accounts & logs),n/a,2025-10-30,docs,Per plan,may require key (paid tiers),Routescan ToS,Alternative explorer API (used by Flarescan)
"K1,Kinetic,lending,https://docs.kinetic.market/contracts-and-api-documentation,Kinetic,Contracts & API Documentation (addresses, Lens),""Last updated 8 days ago"",2025-10-30,docs,n/a,n/a,Site ToS,On‑chain addresses; query via explorer/RPC"
"M1,More Markets,yield product,https://flare.network/news/moremarkets-xrp-earn-account,Flare,MoreMarkets chooses Flare to power XRP yield,2025-08-26,2025-10-30,announcement,n/a,n/a,Flare site ToS,Official partnership; signals data surfaces to watch"
"M2,More Markets,blog,https://www.moremarkets.xyz/blog/moremarkets-scales-xrp-earn-account-with-new-flare-powered-onchain-yield-strategies,MoreMarkets,Scaling XRP Earn Account with Flare,2025-08-26,2025-10-30,docs,n/a,n/a,Site ToS,Protocol flow; confirms FXRP route"
"F1,Firelight / stXRP,staking LST,https://firelight.finance/,Firelight,Firelight — Earn with XRP (stXRP),n/a,2025-10-30,docs,n/a,n/a,Site ToS,Product site; confirms stXRP concept & LST use on Flare"
F2,Firelight / stXRP,explainer,https://flare.network/news/a-guide-to-xrp-yield,Flare,A guide to XRP yield (Firelight + ESS),2025-10-15,2025-10-30,announcement,n/a,n/a,Flare site ToS,Official description of Firelight model & ESS
"F3,Firelight / stXRP,ecosystem,https://thedefiant.io/news/defi/flare-brings-xrp-into-defi-with-fxrp-launch-on-mainnet,The Defiant,Flare brings XRP into DeFi (FXRP; stXRP coming),2025-09-24,2025-10-30,announcement,n/a,n/a,The Defiant ToS,Secondary media; rollout context"