id,url,publisher,title,publish_date,accessed_date,excerpt,reliability_notes
src_llama_flare_chain,https://defillama.com/chain/flare,DefiLlama,Flare — Chain Overview,,2025-10-30,"Flare chain overview with TVL, DEX volumes, stablecoins, fees.",Well-known open DeFi data aggregator; methodologies public; numbers can revise.
src_llama_sparkdex_combined,https://defillama.com/protocol/sparkdex,DefiLlama,SparkDEX — Protocol Overview,,2025-10-30,SparkDEX combined metrics: TVL and spot volumes/fees.,Aggregated from sub-entities (V2/V3/V3.1); may differ from first-party UI.
src_llama_sparkdex_v31,https://defillama.com/protocol/sparkdex-v3.1,DefiLlama,SparkDEX V3.1 — Protocol Metrics,,2025-10-30,SparkDEX V3.1 volumes/fees key metrics.,Third-party aggregator; cross-check with SparkDEX analytics.
src_llama_sparkdex_v3,https://defillama.com/protocol/sparkdex-v3,DefiLlama,SparkDEX V3 — Protocol Metrics,,2025-10-30,SparkDEX V3 dashboard with TVL/volumes.,Low TVL v3; use combined or v3.1 for active markets.
src_llama_enosys_v3,https://defillama.com/protocol/enosys-amm-v3?denomination=USD,DefiLlama,Enosys AMM V3 — Protocol Metrics,,2025-10-30,Enosys V3 spot volumes/fees.,Third-party aggregator; cross-check with GeckoTerminal.
src_llama_blazeswap,https://defillama.com/protocol/blazeswap,DefiLlama,BlazeSwap — Protocol Metrics,,2025-10-30,BlazeSwap TVL by chain (Flare & Songbird).,TVL only; volumes limited on Llama.
src_llama_dexs_flare,https://defillama.com/dexs/chain/flare,DefiLlama,Flare DEX Volume — by Protocol,,2025-10-30,24h/7d/30d spot volume by DEX on Flare.,Dynamic; use .csv export when programmatic ingest resumes.
src_sparkdex_stats_agg,https://sparkdex.ai/stats/agg,SparkDEX,SparkDEX Analytics — Aggregated,,2025-10-30,"Combined analytics: fees, TVL, volumes; sub-tabs v2/v3/v3.1.",First-party UI; underlying API undocumented publicly.
src_sparkdex_stats_v3,https://sparkdex.ai/stats/v3,SparkDEX,SparkDEX Analytics — V3,,2025-10-30,Top pools and volumes on SparkDEX V3.,First-party UI; scrape with care; check ToS.
src_enosys_v3_ui,https://v3.dex.enosys.global/,Enosys,Enosys DEX V3 UI,,2025-10-30,Trading UI for Enosys V3 on Flare.,App UI; no public API docs found.
src_blazeswap_github,https://github.com/blazeswap/contracts,BlazeSwap,BlazeSwap Contracts (Uniswap V2-style),,2025-10-30,Open-source contracts; V2-style AMM with FTSO delegation support.,Primary source for AMM model.
src_geckoterminal_sparkdex_v31,https://www.geckoterminal.com/flare/sparkdex-v3-1/pools,GeckoTerminal,SparkDEX V3.1 — Pools,,2025-10-30,Pool list with 24h volume & liquidity.,Public API 30 req/min; see CoinGecko Pro for higher limits.
src_geckoterminal_enosys_v3,https://www.geckoterminal.com/flare/enosys-v3/pools,GeckoTerminal,Enosys V3 — Pools,,2025-10-30,Pool list with fees/volumes/liquidity.,Public API; pagination for >20 pools.
src_geckoterminal_blazeswap,https://www.geckoterminal.com/flare/blazeswap-flare/pools,GeckoTerminal,BlazeSwap — Pools,,2025-10-30,Pool list with volumes/liquidity.,Public API; rate-limited.
src_flaremetrics_pools,https://flaremetrics.io/defi/liquidity-pools,Flare Metrics,Top Flare Liquidity Pools,2025,2025-10-30,Leaderboard of top-25 pools across Enosys/SparkDEX/BlazeSwap with Fee APR.,Community-run; verify sampling methodology.
src_flarescan_api,https://flare-explorer.flare.network/api-docs,Flare Explorer (Blockscout),Flare Mainnet API docs,,2025-10-30,"Blockscout API for on-chain data (tokens, transfers).",Public explorer API; rate limits apply.
src_flare_news_defi_milestones,https://flare.network/news/new-defi-milestones-for-flare-protocols,Flare Network,New DeFi milestones for Flare protocols,2025-05-12,2025-10-30,"Notes rFLR incentives (333,333 per day) for Enosys pools; USD₮0 catalyst.",Official blog; marketing slant possible.
src_sparkdex_docs_v3,https://docs.sparkdex.ai/sparkdex-defi-ecosystem/v3-dex,SparkDEX,V3 DEX — Product Overview,2024-07-15,2025-10-30,"CLMM design, NFT positions, multiple fee tiers.",Official docs.
src_blazeswap_flare_news,https://flare.network/news/blazeswap,Flare Network,BlazeSwap Delivers DeFi Standard With Flare Network,2022-10-26,2025-10-30,BlazeSwap AMM; FTSO delegation & rewards.,Official blog; early launch article.
src_kinetic_docs_overview,https://docs.kinetic.market/,Kinetic,Kinetic Docs — Overview,2025-10-21,2025-10-30,Lending/borrowing mechanics; market-driven rates.,Official docs.
src_llama_kinetic,https://defillama.com/protocol/kinetic,DefiLlama,Kinetic — Protocol Overview,,2025-10-30,"TVL, yields overview.",Third-party aggregator.
src_flare_news_kinetic,https://flare.network/news/kinetic-to-introduce-lending-and-borrowing-to-flare-ecosystem,Flare Network,Kinetic to Introduce Lending and Borrowing to Flare Ecosystem,2023-12-14,2025-10-30,Kinetic intro article from Flare.,Official blog.
src_moremarkets_blog,https://www.moremarkets.ai/blog/more-markets-xrpfi-on-flare-defi-has-landed,More Markets,More Markets + XRPFi on Flare,2025-10-20,2025-10-30,Explainer of their role in XRPFi and Flare integration.,First-party comms; confirm with Flare news.
src_flare_news_moremarkets,https://flare.network/news/moremarkets,Flare Network,Introducing the More Markets XRP Earn Account,2025-09-23,2025-10-30,XRP Earn Account intro; positioning in XRPFi.,Official blog.
src_firelight_site,https://www.firelight.finance/,Firelight,Firelight — stXRP on Flare,2025,2025-10-30,"stXRP LST design, timeline, roles.",First-party; roadmap may shift.
src_firelight_x_timeline,https://x.com/FirelightFin/status/1837211070815629488,Firelight (X),Firelight stXRP Q3 2025 status (X post),2025-09-19,2025-10-30,States 1:1 FXRP backing and Q3 timeline.,Social; verify on launch.
src_dexscreener_api_terms,https://docs.dexscreener.com/api/api-terms-and-conditions,DEX Screener,API Terms & Conditions,2023-08-18,2025-10-30,Free vs paid; rate limits specified at checkout.,Official API terms.
src_geckoterminal_api_docs,https://api.geckoterminal.com/docs/index.html,GeckoTerminal,GeckoTerminal API Docs,2025-09-10,2025-10-30,Public API rate limit 30 calls/min; onchain endpoints.,Official docs.
src_cg_sparkdex_v31,https://www.coingecko.com/en/exchanges/sparkdex-v3-1,CoinGecko,SparkDEX V3.1 — Exchange Stats,2025,2025-10-30,Coins/pairs count; 24h vol; top pair.,Third-party aggregator.
src_cg_enosys_v3,https://www.coingecko.com/en/exchanges/enosys-v3-flare,CoinGecko,Enosys V3 (Flare) — Exchange Stats,2025,2025-10-30,Coins/pairs count; 24h vol; top pair.,Third-party aggregator.
src_cg_blazeswap,https://www.coingecko.com/en/exchanges/blazeswap-flare,CoinGecko,BlazeSwap (Flare) — Exchange Stats,2025,2025-10-30,Coins/pairs; 24h vol.,Third-party aggregator.
src_flare_news_sparkdex_quickswap,https://flare.network/news/sparkdexs-cutting-edge-amm-perps-protocol-to-launch-on-flare,Flare Network,SparkDEX AMM & Perps to Launch on Flare,2024-07-14,2025-10-30,SparkDEX as QuickSwap-friendly fork; perps module.,Official blog.
src_uday_sparkdex_perps,https://u.today/sparkdex-perps-trading-gains-traction-as-xrpfi-ecosystem-hits-43-million-in-inflows,U.Today,SparkDEX Perps Trading Gains Traction,2025-10-28,2025-10-30,Media report on SparkDEX Eternal perps traction.,Crypto media; verify with first-party.
src_ds_blaze_usdt_wflr,https://dexscreener.com/flare/0xdf4b31b81d59eca0cfc30ecb2beb36eaebaf7a49,DEX Screener,USDT/WFLR on BlazeSwap (pair page),,2025-10-30,Liquidity & 24h volume.,Public DEX pair tracker; rate limits apply.
